 /Comments
Filename: bats_primary_production_v003.txt
Contains BATS primary production  rates for December1988 (cruise #3) - June 2023 (cruise #405)
/NOTE:
The cruise list contains all of the cruises within the specified limits.
However, not all cruises may contain data for the parameters selected.
/Variable list
Id           = Unique 10 digit sample bottle id (!####$$$@@) where,
 	!    = Cruise type, 1=BATS core, 2=BATS bloom a, and 3=BATS bloom b, ect.
 	#### = Cruise number
 	$$$  = Cast Number, 1-80=CTD casts, 81-99=Hydrocasts (i.e. 83=Hydrocast number 3)
 	@@   = Bottle number
 	e.g., 1004808108 is BATS core 48, Hydrocast 1, Bottle 8                                                                         
yymmdd_in    = Year Month Day -deploy
yyymmdd_out  = Year month Day - recover
decy_in      = dec_year deploy
decy_out     = dec_year_recover
hhmm_in      = time_deploy
hhmm_out     = time_recover                                                        
Lat_in       = Latitude of water collection -deploy
Lat_out      = Latitude of water collection -recover
Long_in      = Longitude of water collection - deploy
Long_out     = Longitude of water collection - recover
QF           = Nisken/Goflo quality flag (-3 = possible misfire, -2 = misfire, 1 = unverified, 2= verified acceptable ).                                                                     
dep1         = Collection depth (m)
pres         = pressure (dbar)   
temp         = CTD temp (C)         
salt         = salinity from Goflo bottle or CTD .                                                          
lt1          = 14C Primary Production light bottle #1 (mgC/m^3/day)                                    
lt2          = 14C Primary Production light bottle #2 (mgC/m^3/day)                                    
lt3          = 14C Primary Production light bottle #3 (mgC/m^3/day)                                    
dark         = 14C Primary Production dark bottle (mgC/m^3/day)                                        
t0           = 14C Primary Production Time zero (mgC/m^3/day)                                          
pp           = Primary Production Mean Light values - Dark value (mgC/m^3/day)                                                        
/Quality flags
-999= No data or deemed bad
 All measurement parameters have individual qualify flags in associated quality flag mask file: bats_primary_production_qcmask_v003.txt 
/Variables
   Id       ,	yymmdd_in,     yymmdd_out,       decy_in ,       decy_out,      hhmm_in,       hhmm_out,         Lat_in,          Lat_out,      Long_in,         Long_out,      QF,     dep1,   pres ,     temp,        salt   ,           lt1,    lt2,  lt3  ,  dark ,	t0    ,  pp   , 
  1000308101	  19881218	  19881218	  1988.965	  -999.000	    -999	    -999	  31.669	  -999.000	  64.049	  -999.000	  2	  5.0	-999.0	-999.000	-999.000	   7.21	   6.59	-999.00	   0.75	   1.26	   6.15
  1000308102	  19881218	  19881218	  1988.965	  -999.000	    -999	    -999	  31.669	  -999.000	  64.049	  -999.000	  2	 25.0	-999.0	-999.000	-999.000	   6.00	-999.00	-999.00	-999.00	   1.97	-999.00
  1000308103	  19881218	  19881218	  1988.965	  -999.000	    -999	    -999	  31.669	  -999.000	  64.049	  -999.000	  2	 50.0	-999.0	-999.000	-999.000	   3.62	   2.69	   3.19	   1.02	   1.57	   2.15
  1000308104	  19881218	  19881218	  1988.965	  -999.000	    -999	    -999	  31.669	  -999.000	  64.049	  -999.000	  2	 75.0	-999.0	-999.000	-999.000	   2.21	   1.40	   1.55	   1.43	   1.47	   0.29
  1000308105	  19881218	  19881218	  1988.965	  -999.000	    -999	    -999	  31.669	  -999.000	  64.049	  -999.000	  2	100.0	-999.0	-999.000	-999.000	   1.15	   1.78	   8.48	   0.95	   1.46	   2.85
  1000308106	  19881218	  19881218	  1988.965	  -999.000	    -999	    -999	  31.669	  -999.000	  64.049	  -999.000	  2	120.0	-999.0	-999.000	-999.000	   1.29	   0.75	   1.47	   1.01	   2.08	   0.16
  1000408101	  19890127	  19890127	  1989.074	  -999.000	    -999	    -999	  31.695	  -999.000	  64.252	  -999.000	  2	 18.0	-999.0	-999.000	-999.000	   3.77	   3.75	   4.36	   0.18	   0.19	   3.78
  1000408102	  19890127	  19890127	  1989.074	  -999.000	    -999	    -999	  31.695	  -999.000	  64.252	  -999.000	  2	 41.0	-999.0	-999.000	-999.000	   3.66	   3.55	   3.92	   0.21	   0.21	   3.50
  1000408103	  19890127	  19890127	  1989.074	  -999.000	    -999	    -999	  31.695	  -999.000	  64.252	  -999.000	  2	 62.0	-999.0	-999.000	-999.000	   2.17	   2.33	   2.05	   0.16	   0.09	   2.02
  1000408104	  19890127	  19890127	  1989.074	  -999.000	    -999	    -999	  31.695	  -999.000	  64.252	  -999.000	  2	 81.0	-999.0	-999.000	-999.000	   0.93	   0.92	   1.02	   0.19	   0.09	   0.77
  1000408105	  19890127	  19890127	  1989.074	  -999.000	    -999	    -999	  31.695	  -999.000	  64.252	  -999.000	  2	102.0	-999.0	-999.000	-999.000	   0.79	   0.64	   0.67	   0.21	   0.10	   0.49
  1000508101	  19890219	  19890219	  1989.137	  -999.000	    -999	    -999	  31.650	  -999.000	  64.522	  -999.000	  2	  2.0	-999.0	-999.000	-999.000	-999.00	  29.67	  27.81	   0.44	   0.18	  28.30
