time,latitude,longitude,depth,zooplankton_dry_weight
1994-06-19 23:04:00,22.5,-158.0,150.0,0.6014
1994-06-19 01:50:00,22.5,-158.0,200.0,0.0947
1994-06-19 01:50:00,22.5,-158.0,200.0,0.107
1994-06-19 01:50:00,22.5,-158.0,200.0,0.1672
1994-06-19 01:50:00,22.5,-158.0,200.0,0.1401
1994-06-19 01:50:00,22.5,-158.0,200.0,0.1433
1994-06-19 01:50:00,22.5,-158.0,200.0,0.6523
1994-06-19 11:35:00,22.5,-158.0,150.0,0.0311
1994-06-19 11:35:00,22.5,-158.0,150.0,0.032
1994-06-19 11:35:00,22.5,-158.0,150.0,0.1145
1994-06-19 11:35:00,22.5,-158.0,150.0,0.1013
1994-06-19 11:35:00,22.5,-158.0,150.0,0.0782
1994-06-19 11:35:00,22.5,-158.0,150.0,0.3571
1994-06-19 01:06:00,22.5,-158.0,200.0,0.0074
1994-06-19 01:06:00,22.5,-158.0,200.0,0.101
1994-06-19 01:06:00,22.5,-158.0,200.0,0.2188
1994-06-19 01:06:00,22.5,-158.0,200.0,0.1248
1994-06-19 01:06:00,22.5,-158.0,200.0,0.1243
1994-06-19 01:06:00,22.5,-158.0,200.0,0.5762
1994-06-19 13:06:00,22.5,-158.0,200.0,0.0563
1994-06-19 13:06:00,22.5,-158.0,200.0,-9.0
1994-06-19 13:06:00,22.5,-158.0,200.0,0.1486
1994-06-19 13:06:00,22.5,-158.0,200.0,0.1009
1994-06-19 13:06:00,22.5,-158.0,200.0,0.0985
1994-06-19 13:06:00,22.5,-158.0,200.0,-9.0
1994-07-24 23:05:00,22.5,-158.0,150.0,0.2012
1994-07-24 23:05:00,22.5,-158.0,150.0,0.1262
1994-07-24 23:05:00,22.5,-158.0,150.0,0.1785
1994-07-24 23:05:00,22.5,-158.0,150.0,0.1436
1994-07-24 23:05:00,22.5,-158.0,150.0,0.1829
1994-07-24 23:05:00,22.5,-158.0,150.0,0.8324
1994-07-25 00:08:00,22.5,-158.0,200.0,0.0484
1994-07-25 00:08:00,22.5,-158.0,200.0,0.2037
1994-07-25 00:08:00,22.5,-158.0,200.0,0.1945
1994-07-25 00:08:00,22.5,-158.0,200.0,0.2046
1994-07-25 00:08:00,22.5,-158.0,200.0,0.1602
1994-07-25 00:08:00,22.5,-158.0,200.0,0.8114
1994-07-25 10:03:00,22.5,-158.0,200.0,0.0007
1994-07-25 10:03:00,22.5,-158.0,200.0,0.0618
1994-07-25 10:03:00,22.5,-158.0,200.0,0.2828
1994-07-25 10:03:00,22.5,-158.0,200.0,0.3
1994-07-25 10:03:00,22.5,-158.0,200.0,0.2035
1994-07-25 10:03:00,22.5,-158.0,200.0,0.8488
1994-07-25 12:48:00,22.5,-158.0,250.0,0.0224
1994-07-25 12:48:00,22.5,-158.0,250.0,0.0991
1994-07-25 12:48:00,22.5,-158.0,250.0,0.2367
1994-07-25 12:48:00,22.5,-158.0,250.0,0.2146
1994-07-25 12:48:00,22.5,-158.0,250.0,0.1563
1994-07-25 12:48:00,22.5,-158.0,250.0,0.7291
1994-08-30 00:05:00,22.5,-158.0,250.0,0.0771
1994-08-30 00:05:00,22.5,-158.0,250.0,0.5483
1994-08-30 00:05:00,22.5,-158.0,250.0,0.3132
1994-08-30 00:05:00,22.5,-158.0,250.0,0.3108
1994-08-30 00:05:00,22.5,-158.0,250.0,0.282
1994-08-30 00:05:00,22.5,-158.0,250.0,1.5314
1994-08-30 13:00:00,22.5,-158.0,200.0,0.0076
1994-08-30 13:00:00,22.5,-158.0,200.0,0.1347
1994-08-30 13:00:00,22.5,-158.0,200.0,0.1862
1994-08-30 13:00:00,22.5,-158.0,200.0,0.282
1994-08-30 13:00:00,22.5,-158.0,200.0,0.2355
1994-08-30 13:00:00,22.5,-158.0,200.0,0.846
1994-08-31 00:50:00,22.5,-158.0,150.0,0.0424
1994-08-31 00:50:00,22.5,-158.0,150.0,0.2859
1994-08-31 00:50:00,22.5,-158.0,150.0,0.3108
1994-08-31 00:50:00,22.5,-158.0,150.0,0.3303
